# Structure factor computed by LiquidLib
# k                 S(k)
2.808127403259277e-01        2.042375877499580e-02
5.616254806518555e-01        1.693121902644634e-02
8.424382209777832e-01        1.376988738775253e-02
1.123250961303711e+00        2.197968401014805e-02
1.404063701629639e+00        2.314201183617115e-02
1.684876441955566e+00        3.281230852007866e-02
1.965689182281494e+00        4.479254409670830e-02
2.246501922607422e+00        8.042312413454056e-02
2.527314662933350e+00        1.342642009258270e-01
2.808127403259277e+00        2.795689702033997e-01
3.088940143585205e+00        6.677767634391785e-01
3.369752883911133e+00        2.210961341857910e+00
3.650565624237061e+00        1.443853855133057e+00
3.931378364562988e+00        7.550840377807617e-01
4.212191104888916e+00        6.136941313743591e-01
4.493003845214844e+00        6.264662146568298e-01
4.773816585540771e+00        5.465367436408997e-01
5.054629325866699e+00        6.565697789192200e-01
5.335442066192627e+00        7.057371735572815e-01
5.616254806518555e+00        7.761057019233704e-01
5.897067546844482e+00        1.865268945693970e+00
6.177880287170410e+00        1.069703102111816e+00
6.458693027496338e+00        1.120449662208557e+00
6.739505767822266e+00        1.065207719802856e+00
7.020318508148193e+00        1.033978581428528e+00
7.301131248474121e+00        8.948167562484741e-01
7.581943988800049e+00        8.422561883926392e-01
7.862756729125977e+00        8.313205838203430e-01
8.143569946289062e+00        9.025223255157471e-01
8.424382209777832e+00        9.405548572540283e-01
8.705194473266602e+00        1.024056792259216e+00
8.986007690429688e+00        1.197217106819153e+00
9.266820907592773e+00        1.113797068595886e+00
9.547633171081543e+00        1.037973403930664e+00
9.828445434570312e+00        1.020280838012695e+00
1.010925865173340e+01        9.964243769645691e-01
1.039007186889648e+01        9.849249124526978e-01
1.067088413238525e+01        9.598306417465210e-01
1.095169639587402e+01        9.600121378898621e-01
1.123250961303711e+01        9.776653647422791e-01
1.151332283020020e+01        9.933479428291321e-01
1.179413509368896e+01        1.020926117897034e+00
1.207494735717773e+01        1.020088076591492e+00
1.235576057434082e+01        1.027247905731201e+00
1.263657379150391e+01        1.019746184349060e+00
1.291738605499268e+01        1.012980580329895e+00
1.319819831848145e+01        1.004132270812988e+00
1.347901153564453e+01        9.828819036483765e-01
1.375982475280762e+01        9.902918934822083e-01
1.404063701629639e+01        9.911932349205017e-01
1.432144927978516e+01        9.874695539474487e-01
1.460226249694824e+01        1.000971794128418e+00
1.488307571411133e+01        9.989165663719177e-01
1.516388797760010e+01        1.003211498260498e+00
1.544470024108887e+01        1.003515720367432e+00
1.572551345825195e+01        1.013530015945435e+00
1.600632667541504e+01        1.006429910659790e+00
1.628713989257812e+01        9.997974634170532e-01
1.656795120239258e+01        9.957618117332458e-01
1.684876441955566e+01        1.001348495483398e+00
1.712957763671875e+01        9.976049661636353e-01
1.741038894653320e+01        9.954582452774048e-01
1.769120216369629e+01        9.964219331741333e-01
1.797201538085938e+01        1.004857420921326e+00
1.825282859802246e+01        9.962770938873291e-01
1.853364181518555e+01        1.001342654228210e+00
1.881445312500000e+01        1.001363039016724e+00
1.909526634216309e+01        1.002336263656616e+00
1.937607955932617e+01        1.001573324203491e+00
1.965689086914062e+01        9.955917596817017e-01
1.993770408630371e+01        1.000111699104309e+00
