# Structure factor computed by LiquidLib
# k                 S(k)
3.538129031658173e-01        1.297309342771769e-02
7.076258063316345e-01        1.472054142504930e-02
1.061438679695129e+00        1.552691310644150e-02
1.415251612663269e+00        2.510512992739677e-02
1.769064545631409e+00        3.409788757562637e-02
2.122877359390259e+00        5.688968673348427e-02
2.476690292358398e+00        1.240825057029724e-01
2.830503225326538e+00        3.268460929393768e-01
3.184316158294678e+00        1.370291471481323e+00
3.538129091262817e+00        2.981163263320923e+00
3.891942024230957e+00        1.057904481887817e+00
4.245754718780518e+00        6.676350235939026e-01
4.599567890167236e+00        5.822333693504333e-01
4.953380584716797e+00        6.541782021522522e-01
5.307193756103516e+00        7.764385938644409e-01
5.661006450653076e+00        1.090550780296326e+00
6.014819145202637e+00        1.188609242439270e+00
6.368632316589355e+00        1.220366239547729e+00
6.722445011138916e+00        1.200391769409180e+00
7.076258182525635e+00        1.031409740447998e+00
7.430070877075195e+00        8.971706032752991e-01
7.783884048461914e+00        8.519103527069092e-01
8.137697219848633e+00        8.977363109588623e-01
8.491509437561035e+00        9.578683972358704e-01
8.845322608947754e+00        1.030254840850830e+00
9.199135780334473e+00        1.063570141792297e+00
9.552947998046875e+00        1.068014264106750e+00
9.906761169433594e+00        1.017990946769714e+00
1.026057434082031e+01        9.974298477172852e-01
1.061438751220703e+01        9.674538969993591e-01
1.096819972991943e+01        9.557157754898071e-01
1.132201290130615e+01        9.931132793426514e-01
1.167582607269287e+01        9.965202808380127e-01
1.202963829040527e+01        1.015846848487854e+00
1.238345146179199e+01        1.021653294563293e+00
1.273726463317871e+01        1.016627073287964e+00
1.309107780456543e+01        1.004357576370239e+00
1.344489002227783e+01        9.936161041259766e-01
1.379870319366455e+01        9.865924119949341e-01
1.415251636505127e+01        9.802267551422119e-01
1.450632858276367e+01        9.912095665931702e-01
1.486014175415039e+01        9.995132088661194e-01
1.521395492553711e+01        1.003689765930176e+00
1.556776809692383e+01        1.006191134452820e+00
1.592158031463623e+01        1.005448937416077e+00
1.627539443969727e+01        1.006276726722717e+00
1.662920570373535e+01        1.000892519950867e+00
1.698301887512207e+01        9.956052303314209e-01
1.733683204650879e+01        9.947693943977356e-01
1.769064521789551e+01        9.991861581802368e-01
1.804445838928223e+01        9.987670779228210e-01
1.839827156066895e+01        1.007902145385742e+00
1.875208473205566e+01        1.002866148948669e+00
1.910589599609375e+01        1.003507137298584e+00
1.945970916748047e+01        1.003938794136047e+00
1.981352233886719e+01        1.004275918006897e+00
