# Structure factor computed by LiquidLib
# k                 S(k)
3.526030480861664e-01        1.284786220639944e-02
7.052060961723328e-01        1.375757995992899e-02
1.057809114456177e+00        1.356955617666245e-02
1.410412192344666e+00        2.244793623685837e-02
1.763015270233154e+00        3.611319512128830e-02
2.115618228912354e+00        6.702083349227905e-02
2.468221426010132e+00        1.351441740989685e-01
2.820824384689331e+00        3.386751115322113e-01
3.173427343368530e+00        1.372040629386902e+00
3.526030540466309e+00        3.163022279739380e+00
3.878633499145508e+00        1.176388740539551e+00
4.231236457824707e+00        6.766012907028198e-01
4.583839416503906e+00        5.704348087310791e-01
4.936442852020264e+00        5.968223214149475e-01
5.289045810699463e+00        7.223778367042542e-01
5.641648769378662e+00        9.473118782043457e-01
5.994251728057861e+00        1.208418011665344e+00
6.346854686737061e+00        1.296320796012878e+00
6.699458122253418e+00        1.235346794128418e+00
7.052061080932617e+00        1.042987823486328e+00
7.404664039611816e+00        8.623932003974915e-01
7.757266998291016e+00        8.076305985450745e-01
8.109869956970215e+00        8.578092455863953e-01
8.462472915649414e+00        9.424229264259338e-01
8.815075874328613e+00        1.050626754760742e+00
9.167678833007812e+00        1.113769054412842e+00
9.520282745361328e+00        1.105164647102356e+00
9.872885704040527e+00        1.030173778533936e+00
1.022548866271973e+01        9.795117974281311e-01
1.057809162139893e+01        9.435405135154724e-01
1.093069458007812e+01        9.352056980133057e-01
1.128329753875732e+01        9.950614571571350e-01
1.163590049743652e+01        1.006750822067261e+00
1.198850345611572e+01        1.034161686897278e+00
1.234110641479492e+01        1.038444757461548e+00
1.269370937347412e+01        1.025784373283386e+00
1.304631233215332e+01        1.002797722816467e+00
1.339891624450684e+01        9.850757718086243e-01
1.375151920318604e+01        9.769672751426697e-01
1.410412216186523e+01        9.764472246170044e-01
1.445672512054443e+01        9.972653388977051e-01
1.480932807922363e+01        1.008702039718628e+00
1.516193103790283e+01        1.014687776565552e+00
1.551453399658203e+01        1.013234138488770e+00
1.586713695526123e+01        1.007169723510742e+00
1.621973991394043e+01        1.001632094383240e+00
1.657234382629395e+01        9.940073490142822e-01
1.692494583129883e+01        9.813151359558105e-01
1.727754974365234e+01        9.941177964210510e-01
1.763015174865723e+01        9.976581931114197e-01
1.798275566101074e+01        1.002070546150208e+00
1.833535766601562e+01        9.963459968566895e-01
1.868796157836914e+01        1.002244353294373e+00
1.904056549072266e+01        1.000397205352783e+00
1.939316749572754e+01        1.000512599945068e+00
1.974577140808105e+01        1.002952218055725e+00
