# Structure factor computed by LiquidLib
# k                 S(k)
3.324703872203827e-01        2.545582503080368e-02
6.649407744407654e-01        1.603573188185692e-02
9.974111318588257e-01        6.498271133750677e-03
1.329881548881531e+00        1.081990823149681e-02
1.662351965904236e+00        1.040885318070650e-02
1.994822263717651e+00        1.678231917321682e-02
2.327292680740356e+00        3.228864073753357e-02
2.659763097763062e+00        9.422362595796585e-02
2.992233514785767e+00        2.407252550125122e+00
3.324703931808472e+00        2.651093482971191e+01
3.657174348831177e+00        1.229214191436768e+00
3.989644527435303e+00        1.181389242410660e-01
4.322114944458008e+00        2.149544507265091e-01
4.654585361480713e+00        1.405935585498810e-01
4.987055778503418e+00        1.721988320350647e-01
5.319526195526123e+00        2.830899059772491e-01
5.651996612548828e+00        3.440010249614716e-01
5.984467029571533e+00        1.224904060363770e+00
6.316937446594238e+00        7.029600739479065e-01
6.649407863616943e+00        5.715336799621582e+00
6.981878280639648e+00        3.684308826923370e-01
7.314348697662354e+00        6.490828990936279e-01
7.646819114685059e+00        3.222129344940186e+00
7.979289054870605e+00        6.010791659355164e-01
8.311759948730469e+00        9.494926333427429e-01
8.644229888916016e+00        7.822265028953552e-01
8.976700782775879e+00        5.949427485466003e-01
9.309170722961426e+00        8.407805442810059e+00
9.641641616821289e+00        6.515831947326660e-01
9.974111557006836e+00        5.655690431594849e-01
1.030658245086670e+01        6.202914118766785e-01
1.063905239105225e+01        7.940929532051086e-01
1.097152233123779e+01        2.027669429779053e+00
1.130399322509766e+01        9.545450210571289e-01
1.163646316528320e+01        8.226948976516724e-01
1.196893405914307e+01        8.315258622169495e-01
1.230140399932861e+01        9.079570770263672e-01
1.263387489318848e+01        7.357203364372253e-01
1.296634483337402e+01        7.987611889839172e-01
1.329881572723389e+01        9.472062587738037e-01
1.363128566741943e+01        1.275598764419556e+00
1.396375656127930e+01        9.351170063018799e-01
1.429622650146484e+01        1.536622643470764e+00
1.462869739532471e+01        9.274021387100220e-01
1.496116733551025e+01        1.013559937477112e+00
1.529363822937012e+01        9.164433479309082e-01
1.562610816955566e+01        1.442219138145447e+00
1.595857810974121e+01        9.147557020187378e-01
1.629104804992676e+01        1.175688385963440e+00
1.662351989746094e+01        1.056307077407837e+00
1.695598983764648e+01        9.298849701881409e-01
1.728845977783203e+01        9.297139644622803e-01
1.762092971801758e+01        1.037629485130310e+00
1.795340156555176e+01        9.568845033645630e-01
1.828587150573730e+01        1.207432389259338e+00
1.861834144592285e+01        1.190933585166931e+00
1.895081138610840e+01        9.856781959533691e-01
1.928328323364258e+01        1.057303905487061e+00
1.961575317382812e+01        1.003113508224487e+00
1.994822311401367e+01        9.936529994010925e-01
